Club,Player,Month,Year,Miles
frt,ljone104,Apr,83,701
ddf,lsamme104,Dec,88,2913
sad,pplin102,Apr,66,2463.5
kjh,mpete101,Oct,83,1990
dar,jstro102,Jul,10,976
dar,mpete102,Apr,75,686
gvv,jstro102,Oct,67,982
sad,pharv101,Jul,83,4766
gda,NULL,Apr,05,1049.75
faq,pharm101,Nov,74,1649.33
swe,mjone103,Jun,83,992.25
faq,pharv102,Feb,02,1374
daw,jstro102,Aug,89,1135
hgg,juooli101,Aug,85,4753
dar,abera101,Apr,97,3127
sad,pharv102,Apr,81,2049
ger,hyera102,May,92,1939.5
gth,lgime102,Jan,12,2404
ger,jstro102,Sep,70,4140
daw,kline101,Apr,02,841.33
dew,NULL,Aug,67,3405
dew,abera101,Jun,78,626.25
frt,juooli101,Nov,71,1288.5
ddf,mharr101,Feb,68,4675
fed,lsamme104,Feb,18,1237.25
daw,mjone101,Nov,68,4985
gth,mpede104,Nov,65,1021.25
ddf,abera101,Apr,71,1043.5
NULL,mharr102,Apr,16,573.5
gvv,lgime101,Dec,01,2048
fgn,hyera102,May,65,2241
dbe,mjone101,Jan,07,1679.5
ger,mpete102,Feb,92,1207.75
fed,pharv103,Jan,78,682.67
fed,mpete101,Feb,65,734
ger,mharr102,Jul,71,2228
fed,jstro104,Feb,15,1187
ddf,abera101,Jul,64,1137.5
gth,gframe102,Oct,80,2094
ddf,abera101,Jun,77,818.5
fgn,kline103,Jan,08,1003.75
der,ljone104,Jan,93,2689
frt,ljone104,Aug,71,4576
gvv,mjone102,Apr,76,987
gth,mjone103,Feb,88,742.25
ddf,pharv102,Dec,86,545.75
swe,pharv101,Jan,82,768.25
der,kline102,Mar,74,4444
faq,NULL,Mar,71,4876
dbe,juooli101,Nov,19,3695
gvv,mjone101,Sep,94,1174.75
sdd,jstro101,Apr,08,1490.33
sad,dfab103,Apr,64,1055
sdd,jstro102,Apr,09,655.75
sad,pplin102,May,90,1235.5
faq,pplin102,Apr,97,3332
ger,NULL,May,90,836.75
dew,kline103,Jun,05,1861
NULL,dfab103,Sep,04,1274
der,jstro102,Oct,15,520.75
daw,kline102,Jun,13,788.75
kjh,kline102,Oct,68,1488.67
swe,mpete102,Jan,10,1557.33
fgn,lgime101,Jan,84,963.67
glk,pharv101,Apr,05,2114
daw,kline103,Jul,91,2144
faq,ljone104,Nov,77,2975
dew,hyera102,Mar,02,1204
gth,mharr101,Apr,87,1091
glk,jstro102,Mar,68,4716
hgg,jstro104,Dec,83,3354
fgn,hyera102,Oct,79,2412
daw,pharv101,Mar,15,4016
fed,kline102,Nov,76,1134
sdd,lsamme104,Sep,11,1586
frt,pharv103,Jan,18,1360
saz,gframe102,Jul,09,862.33
glk,pharv102,May,68,1656.33
faq,pharv102,Jan,99,957.67
fgn,hyera102,Jul,17,1313.5
daw,jstro102,Jul,83,2186.5
NULL,mpete102,May,90,1488.5
ddf,pharv102,Jul,74,2977
dbe,mpete102,Mar,64,2254
kjh,pterv104,Jun,84,2493.5
gvv,jstro102,May,75,624.5
daw,jstro101,Aug,14,1015.33
hgg,lgime102,May,69,1136.75
daw,mharr102,Oct,16,1087.75
gth,mjone101,Nov,90,817.25
kjh,mjone103,Jan,82,4540
fgn,ljone104,Apr,79,1337.5
der,kline101,May,19,1079.5
dew,lgime103,Jul,67,771.33
gbn,lgime103,May,94,4704
ger,mharr102,Jan,97,1136.33
daw,kline101,Feb,99,757
glk,jstro101,Aug,77,1226.33
faq,mjone101,Feb,67,1133.33
swe,mjone103,Oct,91,3619
gth,mharr103,Mar,17,1146
sad,lgime101,Mar,01,515.25
sdd,jstro102,Jan,85,4826
dar,ljone104,Nov,74,831
frt,jstro102,Dec,19,659
der,dfab103,Jul,97,1299.33
NULL,mpete102,Jun,74,2420
frt,pharv103,Feb,69,3118
dar,lgime103,Jun,01,1190.67
fed,NULL,Feb,78,924
dbe,jstro104,Oct,64,1656
daw,mharr101,Oct,00,690.67
saz,jstro104,Nov,14,1203.25
sdd,mpede104,Oct,17,1931
ddf,jstro104,Nov,19,3790
dew,jline104,Aug,68,4146
daw,kline101,Aug,01,4441
gbn,NULL,Jan,04,1240
dbe,mpete101,Jun,99,1700.5
glk,pplin102,Jul,72,3892
gbn,pharv102,Aug,98,3107
gvv,mharr101,Sep,68,898
kjh,mjone101,Oct,64,2925
dbe,mjone101,Apr,76,796
gth,pterv104,Aug,87,548
fgn,juooli101,Jun,92,1108.5
gvv,pterv104,Jul,73,1813.5
gda,jstro101,Nov,94,1538.5
ger,jstro104,Jan,99,1463.67
fed,lgime101,Feb,80,1228
sdd,ljone104,Apr,72,1041
dar,kline103,Aug,66,1355
faq,pharv101,Nov,96,3903
frt,mjone103,Jan,94,1357.5
hgg,pplin102,Jan,18,898.75
kjh,mharr102,Sep,07,1513.33
ddf,jstro102,Oct,81,1219.33
daw,jstro104,Mar,95,846.67
fed,jstro102,Mar,98,786
fed,pharv103,Nov,99,632.5
swe,jstro102,Mar,69,902
gda,pharm101,Nov,82,2015
dbe,pharm101,Oct,67,2099.5
sdd,jline104,May,06,1108.5
ddf,jline104,Mar,82,4386
fgn,jstro102,Jul,72,1000
gda,mjone101,Oct,77,973
dar,abera101,Apr,86,825.25
gbn,mpete101,Mar,16,1273
fgn,pharv102,Aug,75,1659
gth,kline102,Feb,85,2305.5
hgg,lgime101,Oct,74,861.67
ddf,pterv104,Oct,78,2157
NULL,pterv104,May,89,1398.67
der,ljone104,Nov,71,1170.67
NULL,lsamme104,Aug,70,3027
glk,kline101,Jan,72,2377
dbe,mharr103,Apr,14,2467
fgn,hyera102,Feb,85,3754
ddf,jstro101,Sep,01,4761
der,jstro102,Aug,05,4120
gbn,mjone103,Jan,96,621.25
faq,jstro101,Apr,08,3979
swe,pterv104,Nov,13,4479
ddf,pterv104,Jan,86,1596
glk,pterv104,Feb,76,1100.25
gth,mjone101,Sep,64,2232
sad,abera101,Jun,69,924
dar,pplin102,Aug,84,4683
hgg,mjone102,Jun,91,832
swe,mharr102,Apr,75,1666.5
sad,juooli101,Dec,76,1465
fgn,mjone101,Jul,69,646.25
hgg,mharr103,Nov,00,2151.5
fed,pplin102,Mar,64,1005
daw,hdaerr101,Mar,02,2304
hgg,gframe102,Nov,95,2187
daw,jstro102,Nov,72,973.25
fed,kline103,Sep,73,1028
hgg,lsamme104,Oct,02,1004.67
der,mharr102,Oct,06,996.25
saz,jstro104,Sep,77,754.25
der,jstro102,Feb,15,1753.5
daw,mpete101,Mar,80,1446.5
dar,pharv103,Dec,97,563
sad,gframe102,Jan,67,1917.5
dbe,NULL,Apr,99,1237
gvv,pharm101,May,80,3246
saz,hdaerr101,Mar,90,3335
ddf,abera101,May,73,3537
der,pterv104,May,03,526.25
sdd,mharr101,Aug,01,812.75
saz,abera101,Jun,70,4067
NULL,jline104,Jul,77,2346
ger,mharr102,Oct,18,1510
hgg,mjone102,Aug,66,2214
kjh,pharm101,May,73,3954
ger,lgime101,Jul,95,1562.5
kjh,lgime103,Jan,81,964
dbe,mharr103,Aug,08,1607.33
frt,jline104,Jan,84,3316
fed,mharr101,Jan,15,1513.5
fed,mharr103,Jan,77,590.25
gvv,jline104,Jul,69,4088
dar,mpete101,Jun,67,2272
dar,NULL,Aug,77,803
saz,mpete102,Jun,08,3822
gbn,mpete101,Oct,86,796.67
dew,juooli101,Dec,97,2120
gth,pharv102,Apr,75,2173.5
frt,lgime102,Jul,84,1078.5
der,mpete102,Jun,81,626
NULL,jstro102,Dec,79,672.33
sdd,mharr102,Jun,17,2158
dbe,mjone102,Mar,91,602.5
gvv,mpete103,Jun,94,3523
swe,pplin102,Jul,81,925.5
dar,ljone104,Oct,96,1128.25
dbe,NULL,Aug,88,1834.5
ger,dfab103,Apr,88,2205.5
daw,jstro102,May,75,1612.33
der,kline103,Mar,94,2418
dar,mjone101,Feb,14,2678
gbn,hdaerr101,Jul,92,1088.33
gvv,hdaerr101,Mar,66,2101
sad,NULL,Nov,71,918.33
glk,pterv104,Jan,16,3715
ger,mjone103,May,85,1442
ger,lgime101,Apr,79,1069.75
faq,mpede104,Aug,99,1109.75
gvv,lsamme104,Jul,98,1164
fed,gframe102,May,12,1861
der,lgime102,Apr,85,557.75
der,pharv101,Aug,01,1117.75
sdd,gframe102,Apr,06,2486.5
faq,lsamme104,Dec,69,1147.67
glk,jline104,Oct,70,840.75
glk,jstro101,Dec,01,1024
gth,mpete103,Oct,05,1036.33
daw,pplin102,Oct,73,4467
saz,mjone103,Jun,87,1175.67
ddf,jstro102,Oct,64,4184
sdd,pharv102,Oct,03,522.75
kjh,juooli101,Jul,85,2264.5
sad,jstro102,Jun,98,1277
ger,juooli101,Jan,67,1197
gbn,kline101,Feb,92,1414.33
der,kline103,Jul,12,583.25
fed,NULL,May,14,4106
sdd,mpete102,Jan,07,2145.5
frt,juooli101,Jun,03,808.5
hgg,pharv102,Nov,93,717.5
dar,jstro101,Sep,64,2770
gvv,kline101,Sep,17,3534
gda,jstro101,Dec,67,980
NULL,mharr102,Jan,84,600
fgn,jstro104,Nov,76,1616
ger,jstro102,Jan,79,760
NULL,abera101,Jul,68,1125
gbn,hyera102,Aug,78,2220.5
faq,kline101,Dec,85,1110
gvv,mharr101,Jan,13,2011.5
frt,kline103,Jul,04,1449
dbe,pharv103,May,16,2427
gbn,lgime102,Sep,64,926.75
sdd,mjone102,Nov,18,1017.5
fgn,mharr102,Jun,78,850.25
swe,abera101,Aug,83,952.5
fed,hdaerr101,Oct,17,4596
gth,lgime102,Feb,74,1639
swe,jstro104,Jan,00,1457.5
gbn,kline101,Jun,99,864
ddf,mpete102,Jan,74,957.5
fed,jline104,Mar,13,1473
fed,pterv104,Oct,91,1060.33
NULL,hdaerr101,Dec,66,1314
der,juooli101,Jan,03,1157
ddf,mharr102,Feb,91,1278
frt,kline102,Apr,13,803.67
gth,mpete103,Jan,19,1135
swe,pharv102,Feb,04,1039
dbe,hyera102,Jul,02,1113
der,pterv104,May,08,1044.5
kjh,jstro104,Dec,81,1120.75
gda,jstro104,Jul,10,3440
sad,pharm101,Apr,02,1319
dbe,jstro102,Dec,69,1519
saz,mharr102,Jan,96,2068
dbe,jstro101,Aug,95,2394.5
NULL,ljone104,Sep,12,1155
sdd,hyera102,Aug,08,1520.67
hgg,pterv104,May,03,993
der,pharv101,Dec,89,1164
ger,mpete103,Aug,08,2157.5
gth,abera101,May,78,1367.5
gvv,abera101,Jul,95,2760
gvv,mharr101,Dec,97,4648
gbn,mjone102,Aug,85,826.75
saz,mjone101,Jul,05,741.75
dbe,mjone101,May,91,618.5
dew,jstro104,May,01,1515
ger,pharv102,May,14,815.25
dbe,mharr102,Sep,03,1119.5
NULL,jline104,Jun,95,3620
glk,jstro101,Aug,02,4398
glk,pharm101,Oct,67,3763
gth,pharv101,Sep,92,638
saz,mharr102,Nov,02,1051.75
ddf,jstro102,Jan,65,1435.5
dar,jline104,Jul,77,1056.75
frt,lgime103,Oct,13,4362
saz,abera101,Aug,12,674.75
faq,mpete102,Oct,03,3858
gth,juooli101,Oct,80,1133
kjh,dfab103,Oct,14,1130.67
saz,pterv104,Sep,88,2164
faq,mjone101,Jun,02,684.33
frt,mpete103,Feb,10,634.25
glk,lgime102,Mar,78,558.75
gbn,kline101,Feb,79,1945.5
daw,jstro102,Feb,94,2094
gth,mharr101,Apr,94,1594.67
dew,lsamme104,Jul,05,1124.75
faq,abera101,Dec,82,653.5
gth,pharv102,Jun,11,844
hgg,lgime103,May,91,613
hgg,mpede104,Jul,12,979.5
ger,jstro102,Oct,94,4365
der,pplin102,May,80,916
frt,mjone102,Jul,11,4138
gth,jstro101,Nov,65,2310
fgn,lsamme104,Oct,10,3213
frt,mjone102,May,84,893.75
ger,pharv102,Oct,14,2531
daw,lgime103,Nov,91,826.5
kjh,mjone103,Nov,70,729.33
fed,dfab103,May,75,1047.75
dar,lgime102,Apr,94,810.25
der,mjone103,Dec,11,2399
kjh,mharr103,Oct,12,1846.5
sdd,pharv101,Jan,94,993.25
faq,pharv101,Oct,81,3231
sad,mpete101,Feb,18,1152.67
sdd,jstro101,Aug,82,953.25
fed,pharv101,Feb,90,2078.5
sdd,kline101,Nov,16,1310.67
der,mharr101,Sep,10,1613
glk,lgime102,Nov,75,2854
NULL,abera101,Mar,76,762
fgn,mjone101,Sep,95,791.67
daw,jstro104,Dec,88,1050.5
NULL,jstro104,May,88,2264.5
saz,hdaerr101,Jan,99,2104
gda,mpete101,May,12,715.33
kjh,NULL,Jun,66,1493
fgn,NULL,Apr,68,1077.67
swe,mjone103,Dec,89,2146.5
gda,pharv103,Dec,73,2964
faq,hdaerr101,Jun,68,2311
gda,pterv104,Sep,05,2251.5
ddf,kline103,Nov,19,1583.5
ddf,NULL,Jan,94,1393.5
sad,pharv102,May,82,2188
gvv,pharv101,Nov,77,908.25
gth,NULL,Jan,88,1349
faq,mpete101,Dec,07,4172
gth,lgime103,Nov,78,1067.5
glk,ljone104,Aug,02,2161
sdd,lgime101,May,70,873.33
der,jstro102,Feb,69,823.5
faq,kline101,Jan,11,2400
gda,pharv102,Mar,17,4814
hgg,pharv103,Jun,87,997
ddf,jstro104,Jan,08,1534.5
dew,NULL,Feb,12,2110.5
fgn,mpete102,Jun,80,1660.33
fed,NULL,Jul,05,2007
gth,lgime102,Jan,80,876.67
der,jstro104,Jun,18,1600.33
fgn,ljone104,May,07,1333.33
daw,NULL,Jul,17,849.33
dbe,pharv102,Oct,01,876.25
fed,pharv102,Sep,09,910.25
hgg,mpete102,Apr,82,1154.5
gth,mjone103,Sep,86,3254
saz,NULL,Feb,12,1279.5
hgg,pplin102,Sep,81,952.33
faq,pharv102,Mar,80,3429
swe,jstro102,Nov,81,1391
dar,lsamme104,Dec,00,739.33
ddf,mpete101,Jul,79,1220.5
fed,jstro104,May,91,1237.67
gvv,pharv102,Oct,66,1678
sad,jstro102,Feb,71,4628
swe,pterv104,Jul,79,4616
swe,kline101,Sep,12,3568
der,mpete102,Apr,91,915
dbe,mharr102,Sep,05,766
dar,mharr102,Mar,94,753.75
gth,abera101,Mar,75,4159
sad,kline102,Apr,16,1787
dbe,mpede104,Nov,15,3673
fed,mpete102,Jun,66,1615.5
dew,mjone101,Jun,95,1350.5
sad,mpete103,Jan,08,946.67
frt,mpete101,Jun,98,982.75
sdd,pharv102,Apr,16,1612.33
faq,mharr102,Jun,14,2858
dbe,lsamme104,Oct,98,1477.33
gth,lgime101,Jul,72,981.5
gda,pharv102,May,94,2287.5
gbn,lgime102,Mar,02,1038.75
gth,jstro101,Jan,73,907.75
gbn,lgime101,Oct,80,1482.5
faq,pharm101,Jan,79,2463.5
sad,mharr101,Dec,09,2024
frt,lgime102,Jun,97,1191.75
daw,NULL,Aug,79,743.5
ger,pharv102,May,02,1009.5
gda,mpede104,Apr,84,1190.67
ddf,lgime102,Apr,93,1734
hgg,lgime102,Nov,84,2212
ddf,mpete101,Jul,81,858.75
fgn,lgime101,Jul,12,1250
sdd,jstro102,May,75,769.75
faq,mharr103,Dec,18,1326.5
dar,jstro101,Oct,68,872.25
ger,dfab103,Aug,83,643.5
kjh,kline101,Aug,83,1368.5
swe,mharr103,Dec,14,3630
dar,juooli101,Jul,70,1006
NULL,hyera102,Nov,12,1366
sad,lgime101,Jan,05,2302
ddf,mpete101,Apr,70,2941
gbn,jstro102,Sep,90,778
gvv,jstro102,Nov,91,1155.33
sdd,jline104,Dec,93,925
NULL,mharr101,Dec,13,4788
gvv,jstro104,Nov,97,2167
NULL,lsamme104,Nov,88,689
faq,kline102,May,72,756
fed,juooli101,Dec,06,2832
gvv,pharm101,Mar,93,2741
dew,NULL,Jun,84,1216.5
fed,pharv102,Jan,92,2276
daw,ljone104,Oct,12,2306
dbe,pharv102,Dec,12,4956
der,NULL,May,93,965.33
fed,ljone104,May,05,1803
daw,pharv102,Nov,77,1106.67
ger,jline104,Apr,15,2032.5
daw,lgime103,May,69,1092.33
der,gframe102,Mar,96,876.33
swe,NULL,Dec,86,589.5
dbe,hdaerr101,May,81,1141
fed,pplin102,Mar,78,3503
der,lsamme104,Feb,12,711
gbn,mpete103,Mar,88,2310
saz,kline101,Aug,76,536.25
der,lgime102,Dec,07,1166
kjh,pplin102,Jun,78,1596.5
dar,abera101,Jun,15,4934
sdd,pharv102,Oct,90,1119.33
glk,NULL,Mar,12,1822
gth,jstro102,May,13,4920
daw,jstro102,Feb,91,4947
daw,jstro102,Dec,74,4660
ddf,kline102,Jan,72,2355
ger,gframe102,Mar,66,769.75
saz,pterv104,Nov,85,4936
gda,hdaerr101,Nov,65,823.67
sdd,mpete103,May,04,1770
daw,kline103,Oct,02,4952
ddf,pharv102,Jul,86,1570.67
frt,mpete101,Jul,17,2891
sdd,gframe102,Feb,68,739.25
NULL,jstro102,Jun,76,1442.5
gda,jstro102,Aug,14,1558.67
der,jstro102,Mar,16,1371
sdd,mpete101,Jun,67,4838
sdd,pharv101,Aug,80,3902
daw,hyera102,Oct,81,1379
fed,lgime103,Feb,71,1173.25
gda,jstro102,Mar,75,2930
hgg,dfab103,Jul,03,3183
saz,mpete103,Feb,83,4261
fgn,lsamme104,Oct,88,998.33
ger,lgime102,Apr,84,699.5
ger,mjone103,Mar,74,1511.33
saz,dfab103,Jan,11,3558
ger,jstro104,Jan,11,4677
daw,jstro104,Dec,18,560.25
ger,mpede104,Jul,18,1106.25
saz,jline104,Sep,78,602.5
NULL,kline103,Sep,04,1448.5
dar,pplin102,Apr,89,1065.67
swe,mpete102,Mar,97,2385.5
fgn,gframe102,Apr,93,4453
gda,jstro102,Jan,02,874.33
saz,pharv102,Jan,99,1037.5
ger,mjone103,Sep,91,4080
gth,mpete101,Jun,88,2161.5
ddf,kline103,Oct,17,1382.67
der,jstro104,Sep,10,554
gvv,hyera102,Oct,04,1122.67
faq,mharr103,May,81,2228
frt,jstro102,May,03,1484.33
glk,mharr101,Mar,93,1489
sad,mpete101,Nov,18,4432
ger,pharv102,Jun,93,1237.5
ger,kline103,Sep,99,3557
hgg,ljone104,Aug,10,2176
fgn,ljone104,Feb,17,614.75
gth,mpete102,Feb,89,1213.5
dbe,abera101,Jan,14,4779
swe,dfab103,Apr,71,4904
kjh,ljone104,Jun,03,543
dbe,jstro101,Jul,80,1163
dar,mpete102,Sep,93,510.5
frt,hyera102,Apr,91,1632.33
hgg,mpete101,Sep,15,2273
dar,lgime103,Oct,14,2486
hgg,abera101,Jun,79,3259
NULL,mharr101,Dec,70,1455
gda,mjone101,Apr,91,991
sdd,mpede104,Mar,13,736.5
NULL,jstro102,Jan,74,2718
fgn,dfab103,Mar,83,3603
gvv,lgime102,May,10,862.33
ger,pharm101,May,81,741.67
swe,lsamme104,Mar,86,2207
ger,hdaerr101,Apr,02,1654.5
faq,jstro101,Dec,18,2411
der,kline102,Jun,96,1083
faq,jstro102,Feb,00,4349
sad,mharr103,Jun,18,1336
dbe,mpede104,Mar,88,1474.67
daw,mharr101,Jun,66,3461
dbe,pharv102,Jan,77,755
hgg,jstro102,Jul,75,732.25
gbn,jstro102,Jul,74,1330.33
dew,pharv102,Sep,10,2680
saz,jstro102,Jan,96,833.67
swe,gframe102,Jun,10,1546
faq,kline103,Apr,98,712.5
NULL,pharv101,Sep,93,1351.67
ger,juooli101,Apr,94,2271
daw,jstro101,Feb,75,2522
kjh,pharv101,Aug,72,1083.25
fed,abera101,Oct,15,3995
kjh,mpete101,Nov,73,4028
glk,pharv101,Jan,84,1913
fgn,mharr102,Oct,81,1248
hgg,juooli101,Aug,89,2534
dbe,gframe102,Aug,85,1426.67
gda,NULL,Jul,69,2660
faq,gframe102,Feb,84,3687
sad,jstro102,Sep,95,1948
glk,kline101,Aug,11,1017.25
glk,dfab103,Jan,14,1226.5
sad,pplin102,Sep,86,3319
daw,lgime102,Apr,77,1184
fed,lsamme104,Jun,74,4755
gvv,jstro101,Feb,07,718.33
swe,abera101,Mar,12,1617.67
kjh,mpede104,Feb,78,1154
glk,hdaerr101,Jul,98,3243
NULL,hyera102,Feb,76,1326.33
sdd,mjone101,Oct,97,3494
gbn,mpete103,Oct,14,2310.5
ddf,kline101,Jul,94,2683
gbn,mpede104,Jul,92,1134.5
gbn,jstro101,Aug,98,517.5
ger,mharr103,Mar,83,849.25
kjh,jstro102,Feb,82,946
sdd,mpede104,Mar,69,1502.5
glk,dfab103,Feb,65,959.5
ddf,kline101,Aug,79,1459
gbn,jline104,Feb,95,3120
NULL,abera101,Sep,01,827
dbe,mpete102,Aug,77,4557
saz,jstro102,May,03,694.67
dbe,hyera102,Jul,70,2460
gvv,mharr102,Nov,19,1290
dew,mjone103,Dec,89,1162.5
glk,jline104,Feb,68,1567.5
glk,mjone103,Apr,80,4405
dbe,pharm101,Jan,11,3015
fgn,NULL,May,65,612.5
fed,jline104,Jul,04,2732
glk,pterv104,May,74,4207
ger,pharv103,Nov,13,2444.5
fgn,jstro102,Dec,00,1172
faq,jstro102,May,79,1575.67
dar,hyera102,Feb,05,1231.5
gvv,jstro101,Jan,84,1014.25
swe,kline102,Sep,88,1287.33
ddf,pharm101,Aug,97,731.5
daw,hdaerr101,Apr,07,992.5
fed,mharr101,Aug,19,1120.5
ger,mpete102,May,92,727.75
fgn,lsamme104,Oct,98,828
fgn,pharv101,Aug,02,801.33
frt,kline103,Nov,16,4332
sdd,hyera102,May,85,1169
faq,pharm101,Dec,80,1477
hgg,jstro104,Aug,13,1973.5
der,NULL,Jan,08,1416.5
dar,mpete102,Apr,68,2000.5
gvv,lgime102,Apr,94,4043
gvv,mpete103,Feb,12,1132.5
gth,jstro101,May,11,1666.5
saz,jstro102,Aug,19,4012
dew,pharv102,Nov,19,615.5
dew,kline103,Nov,93,814
dbe,mpede104,Nov,71,2372
gth,jstro102,Oct,04,3798
sad,ljone104,Oct,13,1672.5
gth,pterv104,May,10,1196.25
NULL,pharv103,Feb,88,4308
gth,mpete103,Jan,98,1309.67
ddf,lsamme104,Dec,73,824
gbn,NULL,Sep,68,1350.5
faq,mjone103,Feb,74,1581
frt,gframe102,Feb,15,2187.5
gda,mjone102,Jul,81,3104
gda,kline103,Apr,76,1864.5
ddf,NULL,Mar,06,2287.5
fed,jstro102,Feb,87,2608
fgn,jstro102,Feb,75,2075
sad,jstro102,Sep,74,741.5
dar,hdaerr101,Jan,74,804
NULL,mpete103,Sep,66,1221.5
sdd,juooli101,Jul,94,1323.5
NULL,pharv102,Feb,73,3491
swe,lgime102,Dec,97,1279.67
dar,lgime102,Dec,75,1201.5
hgg,mpede104,Oct,73,780.33
kjh,jstro102,May,83,1602.5
sdd,kline101,Sep,10,993.25
gda,kline101,Feb,90,920.33
frt,jstro102,Jul,19,1649
gda,juooli101,Aug,10,1578
daw,lgime101,Jul,82,2134
sdd,mharr102,May,68,1442
sad,mpete103,May,10,764.25
ger,jstro101,Jul,97,4468
gda,mpete103,Nov,12,1364
ger,jstro101,Jun,05,1580.5
gvv,jstro102,Apr,69,810.5
glk,kline103,Jun,06,1126.75
sad,jstro102,Jan,86,1336.5
dbe,jstro104,Apr,86,2399
daw,ljone104,Jun,07,4773
dbe,mharr101,May,74,2188
sdd,pharv101,Oct,98,4822
dar,kline101,Jan,06,1317.5
der,kline102,May,09,1365.67
fgn,hyera102,Aug,71,1619.67
fgn,kline101,Jul,04,1412.33
sad,hyera102,Feb,93,3003
sdd,hdaerr101,Mar,12,1239.5
sdd,jstro102,May,00,842.33
ger,mjone102,Aug,92,1045
hgg,jstro102,Jan,75,1103.5
gth,jstro104,Feb,85,773
saz,kline101,Sep,67,1325.67
sdd,jstro104,Apr,79,1600.67
fed,mjone103,Mar,18,1125.5
kjh,jstro101,Dec,13,2440
faq,pharv103,Jan,72,4329
ger,NULL,Sep,16,3556
gbn,pharv102,Oct,03,1546.67
der,jstro104,Jul,71,2435
saz,hyera102,Dec,02,1031.5
NULL,jline104,Oct,74,1154.5
glk,pharv103,Jan,64,2372
sdd,lgime101,Dec,69,2056
sad,mpete102,Apr,73,4225
hgg,mpete102,Dec,93,902
gbn,gframe102,Aug,94,1271.33
saz,pharv102,Sep,09,2566
glk,pharm101,Oct,14,1123
NULL,jline104,Apr,95,979.33
hgg,jstro104,Jan,71,1309.33
gth,mjone103,Jul,88,1833.5
swe,mpete101,Jun,99,2245
glk,lsamme104,Dec,72,1375.67
der,mjone102,Aug,91,2333
fed,mharr101,Nov,69,855
gbn,jstro104,Apr,67,908.33
swe,jstro102,May,98,1629.67
dar,mjone103,Jul,09,2051
gvv,pharm101,Jul,68,2209.5
NULL,ljone104,Feb,04,1843.5
dew,pplin102,Oct,98,2431
fed,mpete102,Jul,05,833.67
fed,mpede104,Oct,86,1481
gvv,kline102,Oct,93,1489
sdd,pplin102,Oct,64,1327.5
saz,pharv102,Apr,92,2053
kjh,mharr102,Jul,01,1911.5
glk,hdaerr101,Jun,65,974.5
saz,jstro102,Jun,94,3663
swe,mjone103,May,98,2272
dar,pharv101,May,70,2084.5
kjh,pharv103,May,09,984.5
glk,lsamme104,Feb,07,1252.5
der,jstro102,Jan,80,1189.25
saz,kline102,Apr,72,1713.5
ger,juooli101,Aug,85,1412.5
dar,lgime101,Jul,77,741.75
hgg,lgime102,Sep,99,1526
ger,pharv103,Apr,89,568
sdd,lgime101,Mar,77,1759.5
daw,jstro104,May,73,1231.25
gth,hdaerr101,May,04,1160.5
kjh,pharv102,Apr,17,2278
dar,pharv101,Jul,93,1196.5
fed,pharv101,Jul,02,4781
ddf,mpete101,Nov,05,903.33
swe,juooli101,Oct,92,667.25
saz,jstro102,Jul,07,1217
saz,gframe102,Oct,85,2323
swe,lgime103,May,12,851.5
ddf,jline104,Sep,65,607.75
ddf,pharm101,Jun,89,3532
fed,NULL,Aug,16,1051
fgn,gframe102,Apr,64,1371.67
gda,kline102,May,75,1164.5
sad,pharv102,Sep,80,1863
faq,pharv101,Dec,15,768.5
fed,pharv102,Apr,13,2309
ger,pharm101,Jan,64,3021
swe,pterv104,Jun,74,526.5
glk,jstro104,Dec,68,4290
swe,hyera102,Aug,17,1406.67
fed,jstro101,Jan,66,1508.5
gda,mpete102,Nov,92,1230.75
gbn,pharv103,Mar,69,1535.33
kjh,kline102,Feb,71,1081
saz,lsamme104,Oct,01,1162.67
ger,jstro104,Jun,88,1097.5
fgn,juooli101,Dec,95,1531.67
der,lgime103,Feb,09,3412
frt,NULL,Apr,85,1720
gth,jstro104,Jun,98,1307
glk,jstro104,Nov,11,3349
gbn,jstro102,Oct,97,2667
kjh,mharr101,Jun,93,1579.67
dbe,pharv102,Jul,92,1141.75
der,mjone101,Jan,82,2494
sdd,NULL,Mar,94,2986
saz,mjone102,Aug,79,2003
gbn,pharm101,Apr,83,1275.5
saz,lsamme104,Dec,12,1378
saz,jstro101,Dec,17,1982.5
saz,gframe102,Apr,67,759.67
glk,jline104,Jun,12,1278
ger,mjone101,Feb,65,719.67
glk,hdaerr101,Jan,16,683
ger,juooli101,Jan,09,1557
kjh,pterv104,Dec,03,2208.5
dew,mharr101,Aug,68,2044.5
ger,mjone102,Apr,85,1183
gth,lgime103,Apr,18,1012
ger,jstro104,Jan,73,2314.5
faq,NULL,Jul,92,1035.33
saz,mharr102,Oct,81,1049.75
glk,pplin102,Aug,79,987.75
gda,mjone101,Mar,78,1229.33
daw,jstro104,Jan,95,3662
kjh,jstro102,Oct,82,4358
swe,mpede104,Sep,64,3376
dar,mharr103,Feb,64,2020
ger,juooli101,Apr,71,832
NULL,kline103,Nov,18,919.67
hgg,mpede104,Apr,14,2003
gbn,mpede104,Feb,71,1142
saz,pplin102,Mar,00,1218
gda,pharm101,Feb,71,951
faq,jstro104,Jul,12,4072
ddf,jline104,Jun,96,1201.33
hgg,lsamme104,Aug,66,968.25
dar,jstro102,Apr,14,1092.33
kjh,ljone104,Feb,02,2833
